zip,county,latitude,longitude,est_population
81052,Prowers County,38.08,-102.61,7480
81054,Bent County,38.06,-103.22,2510
81055,Huerfano County,37.51,-105,1140
81057,Bent County,38.12,-102.88,380
81058,Otero County,38.1,-103.86,750
81059,Las Animas County,37.34,-104.27,164
81062,Crowley County,38.16,-103.94,600
81063,Crowley County,38.22,-103.75,1220
81064,Baca County,37.22,-103,170
81067,Otero County,38.04,-103.72,4440
81069,Pueblo County,37.92,-104.93,1660
81071,Kiowa County,38.46,-102.29,240
81073,Baca County,37.4,-102.61,1460
81075,,37.29,-102.18,0
81076,Crowley County,38.23,-103.66,300
81077,Otero County,38.02,-103.63,715
81081,Las Animas County,37.05,-104.03,86
81082,Las Animas County,37.16,-104.5,8910
81084,Baca County,37.56,-102.39,109
81087,Baca County,37.37,-102.44,144
81089,Huerfano County,37.62,-104.77,3280
81090,Baca County,37.38,-102.28,760
81091,Las Animas County,37.13,-105.01,580
81092,Prowers County,38.15,-102.71,720
81101,Alamosa County,37.46,-105.87,12170
81102,Alamosa County,37.46,-105.87,41
81120,Conejos County,37.07,-106.01,1630
81121,Archuleta County,37.11,-107.44,316
81122,La Plata County,37.23,-107.59,8000
81123,Costilla County,37.43,-105.51,590
81124,Conejos County,37.31,-106.16,271
81125,Saguache County,37.75,-106.11,2900
81126,Costilla County,37.17,-105.38,120
81127,Archuleta County,37.21,-107.34,41
81128,Archuleta County,37.03,-106.83,144
81129,Conejos County,37.1,-106.03,126
81130,Mineral County,37.85,-106.92,690
81131,Saguache County,37.99,-105.69,783
81132,Rio Grande County,37.67,-106.35,2440
81133,Costilla County,37.43,-105.43,890
81134,Costilla County,37,-105.53,70
81135,Rio Grande County,37.55,-106.05,43
81136,Alamosa County,37.74,-105.87,190
81137,San Juan County,37.11,-107.63,4800
81138,Costilla County,37,-105.63,47
81140,Conejos County,37.27,-105.96,1960
81141,Conejos County,37.17,-105.93,1152
81143,Saguache County,38,-105.9,470
81144,Rio Grande County,37.57,-106.14,6280
81146,Alamosa County,37.65,-105.88,510
81147,Archuleta County,37.24,-107.03,10080
81148,Conejos County,37.17,-105.99,370
81149,Saguache County,38.08,-106.14,610
81151,Conejos County,37.25,-105.9,1280
81152,Costilla County,37.2,-105.42,850
81153,Costilla County,37.12,-105.36,201
81154,Rio Grande County,37.67,-106.64,920
81155,Saguache County,38.25,-105.95,160
81157,Archuleta County,37.24,-107.03,661
81201,Chaffee County,38.53,-106,7890
81210,Gunnison County,38.67,-106.83,230
81211,Chaffee County,38.83,-106.14,6260
81212,Fremont County,38.44,-105.23,20800
81215,Fremont County,38.44,-105.23,1232
81220,Gunnison County,38.37,-107.5,207
81221,Fremont County,38.36,-105.14,293
81222,Fremont County,38.35,-105.83,290
81223,Fremont County,38.37,-105.68,1380
81224,Gunnison County,38.87,-106.98,4320
81225,Gunnison County,38.95,-106.9,156
81226,Fremont County,38.38,-105.11,4620
81227,Chaffee County,38.55,-106.29,0
81228,Lake County,39.05,-106.27,18
81230,Gunnison County,38.54,-106.92,7690
81231,Gunnison County,38.55,-106.92,69
81232,Fremont County,38.29,-105.61,85
81233,Fremont County,38.45,-105.84,670
81235,Hinsdale County,38.07,-107.3,640
81236,Chaffee County,38.73,-106.08,850
81237,Gunnison County,38.6,-106.61,56
81239,Gunnison County,38.5,-106.72,57
81240,Fremont County,38.43,-105.01,3650
81241,Gunnison County,38.6,-106.51,105
81242,Chaffee County,38.51,-106.07,680
81243,Gunnison County,38.27,-107.08,108
81244,Fremont County,38.36,-105.16,369
81247,Gunnison County,38.54,-106.92,0
81248,Saguache County,38.4,-106.42,39
81251,Lake County,39.1,-106.47,162
81252,Custer County,38.13,-105.46,3300
