LNG,LAT,ROUTES,STOPNAME,DIR,DISTANCE_FROM_STREET,CITY,POSTAL,CORNER,ON_STREET,AT_STREET,STOPNAME_BSID,,County
-104.943681,39.743681,20,17th Ave & Garfield St,E,125,Denver,80206,SE,E 17th Ave,Garfield St,17th Ave & Garfield St (Stop No. 10291),,Denver County
-105.254899,40.215553,Y,4200 Block US 36,W,2000,Longmont,80503,,Us Hwy 66,Us Hwy 36,4200 Block US 36 (Stop No. 25104),,Longmont County
-105.253216,40.00316,BOND,30th St & Aurora Ave,S,75,Boulder,80303,SW,30th St,Aurora Ave,30th St & Aurora Ave (Stop No. 25121),,Boulder County
-105.1429341,39.69918754,21,W Alameda Pkwy & W Mississippi Ave {1304},E,55,Lakewood,80228,NE,W Alameda Pkwy,W Mississippi Av,W Alameda Pkwy & W Mississippi Ave {1304} (Stop No. 12131),,Lakewood County
-104.865739,39.743993,105,Havana St & 17th Ave,N,65,Aurora,80010,NE,Havana St,E 17th Av,Havana St & 17th Ave (Stop No. 14233),,Aurora County
-104.866084,39.718723,105,Havana St & 1st Ave,S,50,Aurora,80010,NW,Havana St,E 1st Av,Havana St & 1st Ave (Stop No. 14236),,Aurora County
-105.028252,39.787389,52,W 50th Ave & Hooker St,E,100,Denver,80221,SE,W 50th Av,Hooker St,W 50th Ave & Hooker St (Stop No. 22466),,Denver County
-105.057102,39.611361,59,W Grant Ranch Blvd & W Dorado Dr E,S,75,Littleton,80123,SW,W Grant Ranch Blvd,Dorado Dr,W Grant Ranch Blvd & W Dorado Dr E (Stop No. 25011),,Littleton County
-105.3667615,40.00370463,NB,Hwy 119 & Milepost 36,W,100,Boulder,80302, ,State Hwy 119,Sugarloaf Rd,Hwy 119 & Milepost 36 (Stop No. 22936),,Boulder County
-105.178555,40.065633,205,75th St & Club House Rd,S,30,Gunbarrel,80301,NW,75th St,Club House Rd,75th St & Club House Rd (Stop No. 11703),,Gunbarrel County
-105.03504,39.623603,"36L, 36",S Lowell Blvd & W Belleview Ave,S,150,Littleton,80123,SW,S Lowell Blvd,W Belleview Av,S Lowell Blvd & W Belleview Ave (Stop No. 15084),,Littleton County
-105.031552,39.738518,1,W 14th Ave & Julian St,W,100,Denver,80204,NW,W 14th Av,Julian St,W 14th Ave & Julian St (Stop No. 20130),,Denver County
-104.8894702,39.68290914,83,1900 Block S Quebec Way,NW,1125,Denver,80231, ,S Quebec Wy,S Xenia Wy,1900 Block S Quebec Way (Stop No. 19495),,Denver County
-104.983372,39.692957,11,Louisiana Ave & S Grant St,E,150,Denver,80210,SE,E Louisiana Av,S Grant St,Louisiana Ave & S Grant St (Stop No. 19376),,Denver County
-104.885406,39.732912,10,11th Ave & Yosemite St,W,75,Denver,80220,NW,E 11th Ave,Yosemite St,11th Ave & Yosemite St (Stop No. 25270),,Denver County
-104.994277,39.856208,92,W 88th Ave & Fox Dr {1110},E,50,Thornton,80260,SW,W 88th Av,Fox Dr,W 88th Ave & Fox Dr {1110} (Stop No. 20770),,Thornton County
-105.032401,39.721581,1,Knox Ct & W 3rd Ave,N,70,Denver,80219,NE,Knox Ct,W 3rd Av,Knox Ct & W 3rd Ave (Stop No. 20777),,Denver County
